 WARN [2017-06-09 13:30:06,754] (ComponentResource.java:loadFromFile:430) - File 'src/package.xml' does not exist
 WARN [2017-06-09 13:31:12,532] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'AddressTools/package.xml': Can't retrieve non-customizable CustomObject named: AddressValidateJob__c
 WARN [2017-06-09 13:31:12,538] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'AddressTools/package.xml': Can't retrieve non-customizable CustomObject named: ScheduledJob__c
 WARN [2017-06-09 13:31:12,540] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'AddressTools/package.xml': Can't retrieve non-customizable CustomObject named: SecurityToken__c
 WARN [2017-06-09 13:31:12,547] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'AddressTools/package.xml': Can't retrieve non-customizable CustomObject named: ScheduledJob__c
 WARN [2017-06-09 13:31:12,548] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'AddressTools/package.xml': Can't retrieve non-customizable CustomObject named: SecurityToken__c
 WARN [2017-06-09 13:31:12,550] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'AddressTools/package.xml': Can't retrieve non-customizable CustomObject named: AddressValidateJob__c
 WARN [2017-06-09 13:31:12,551] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: lt_state_codes__mdt
 WARN [2017-06-09 13:31:12,553] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: Timezone_Names__c
 WARN [2017-06-09 13:31:12,555] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: local_time_ac__c
 WARN [2017-06-09 13:31:12,557] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: lt_area_codes__mdt
 WARN [2017-06-09 13:31:12,559] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: country_codes__c
 WARN [2017-06-09 13:31:12,561] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: lt_country_names__mdt
 WARN [2017-06-09 13:31:12,563] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: local_time__c
 WARN [2017-06-09 13:31:12,564] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: lt_timezone_names__mdt
 WARN [2017-06-09 13:31:12,566] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: lt_timezones__mdt
 WARN [2017-06-09 13:31:12,568] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: local_time_app_settings__c
 WARN [2017-06-09 13:31:12,570] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: na_local_time__c
 WARN [2017-06-09 13:31:12,571] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: state_codes__c
 WARN [2017-06-09 13:31:12,573] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: lt_state_codes__mdt
 WARN [2017-06-09 13:31:12,574] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: Timezone_Names__c
 WARN [2017-06-09 13:31:12,576] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: local_time_ac__c
 WARN [2017-06-09 13:31:12,577] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: lt_area_codes__mdt
 WARN [2017-06-09 13:31:12,579] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: country_codes__c
 WARN [2017-06-09 13:31:12,580] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: local_time__c
 WARN [2017-06-09 13:31:12,581] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: lt_country_names__mdt
 WARN [2017-06-09 13:31:12,583] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: lt_timezone_names__mdt
 WARN [2017-06-09 13:31:12,584] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: lt_timezones__mdt
 WARN [2017-06-09 13:31:12,585] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: na_local_time__c
 WARN [2017-06-09 13:31:12,587] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Local Time App/package.xml': Can't retrieve non-customizable CustomObject named: state_codes__c
 WARN [2017-06-09 13:31:12,588] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Salesforce Connected Apps/package.xml': Metadata API received improper input. Please ensure file name and capitalization is correct. Load of metadata from db failed for metadata of type:ConnectedApp and file name:Workbench.
 WARN [2017-06-09 13:31:12,590] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Salesforce Connected Apps/package.xml': Metadata API received improper input. Please ensure file name and capitalization is correct. Load of metadata from db failed for metadata of type:ConnectedApp and file name:Salesforce_for_Outlook.
 WARN [2017-06-09 13:31:12,591] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Salesforce Connected Apps/package.xml': Metadata API received improper input. Please ensure file name and capitalization is correct. Load of metadata from db failed for metadata of type:ConnectedApp and file name:Salesforce_Touch.
 WARN [2017-06-09 13:31:12,593] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Salesforce Connected Apps/package.xml': Metadata API received improper input. Please ensure file name and capitalization is correct. Load of metadata from db failed for metadata of type:ConnectedApp and file name:Salesforce_Mobile_Dashboards.
 WARN [2017-06-09 13:31:12,594] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Salesforce Connected Apps/package.xml': Metadata API received improper input. Please ensure file name and capitalization is correct. Load of metadata from db failed for metadata of type:ConnectedApp and file name:Forcecom_Migration_Tool.
 WARN [2017-06-09 13:31:12,596] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Salesforce Connected Apps/package.xml': Metadata API received improper input. Please ensure file name and capitalization is correct. Load of metadata from db failed for metadata of type:ConnectedApp and file name:Forcecom_IDE.
 WARN [2017-06-09 13:31:12,597] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Salesforce Connected Apps/package.xml': Metadata API received improper input. Please ensure file name and capitalization is correct. Load of metadata from db failed for metadata of type:ConnectedApp and file name:Dataloader_Partner.
 WARN [2017-06-09 13:31:12,598] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Salesforce Connected Apps/package.xml': Metadata API received improper input. Please ensure file name and capitalization is correct. Load of metadata from db failed for metadata of type:ConnectedApp and file name:Dataloader_Bulk.
 WARN [2017-06-09 13:31:12,600] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Salesforce1 and Chatter Apps/package.xml': Metadata API received improper input. Please ensure file name and capitalization is correct. Load of metadata from db failed for metadata of type:ConnectedApp and file name:Salesforce_Chatterbox.
 WARN [2017-06-09 13:31:12,603] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Salesforce1 and Chatter Apps/package.xml': Metadata API received improper input. Please ensure file name and capitalization is correct. Load of metadata from db failed for metadata of type:ConnectedApp and file name:SalesforceA.
 WARN [2017-06-09 13:31:12,605] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Salesforce1 and Chatter Apps/package.xml': Metadata API received improper input. Please ensure file name and capitalization is correct. Load of metadata from db failed for metadata of type:ConnectedApp and file name:Salesforce1_for_Windows.
 WARN [2017-06-09 13:31:12,607] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Salesforce1 and Chatter Apps/package.xml': Metadata API received improper input. Please ensure file name and capitalization is correct. Load of metadata from db failed for metadata of type:ConnectedApp and file name:Chatter_for_iOS.
 WARN [2017-06-09 13:31:12,609] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Salesforce1 and Chatter Apps/package.xml': Metadata API received improper input. Please ensure file name and capitalization is correct. Load of metadata from db failed for metadata of type:ConnectedApp and file name:Chatter_for_BlackBerry.
 WARN [2017-06-09 13:31:12,611] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Salesforce1 and Chatter Apps/package.xml': Metadata API received improper input. Please ensure file name and capitalization is correct. Load of metadata from db failed for metadata of type:ConnectedApp and file name:Chatter_for_Android.
 WARN [2017-06-09 13:31:12,613] (ProjectController.java:handleRetrieveResults:694) - Failed to retrieve: 'Salesforce1 and Chatter Apps/package.xml': Metadata API received improper input. Please ensure file name and capitalization is correct. Load of metadata from db failed for metadata of type:ConnectedApp and file name:Chatter_Desktop.
 WARN [2017-06-09 13:36:50,676] (ComponentResource.java:loadFromFile:430) - File 'src/package.xml' does not exist
 WARN [2017-06-09 14:02:36,322] (DefaultBuilder.java:applyDirtyMarkers:93) - TODO: apply 'Save locally only...' markers on each resource
 WARN [2017-06-09 14:04:57,501] (DefaultBuilder.java:applyDirtyMarkers:93) - TODO: apply 'Save locally only...' markers on each resource
 WARN [2017-06-09 14:06:11,749] (DefaultBuilder.java:applyDirtyMarkers:93) - TODO: apply 'Save locally only...' markers on each resource
 WARN [2017-06-09 14:11:34,289] (DefaultBuilder.java:applyDirtyMarkers:93) - TODO: apply 'Save locally only...' markers on each resource
 WARN [2017-06-09 14:12:45,870] (DefaultBuilder.java:applyDirtyMarkers:93) - TODO: apply 'Save locally only...' markers on each resource
